id,title,rating,uri,年份,地区,类型,主演
35391124,K-POP：猎魔女团,6.4,douban://douban.com/movie/35391124,2025,美国 加拿大,歌舞,克里斯·艾伯翰斯 玛吉·康
35391124,K-POP：猎魔女团,6.4,douban://douban.com/movie/35391124,2025,美国 加拿大,奇幻,克里斯·艾伯翰斯 玛吉·康
35391124,K-POP：猎魔女团,6.4,douban://douban.com/movie/35391124,2025,美国 加拿大,冒险,克里斯·艾伯翰斯 玛吉·康
36314193,惊声尖叫7,5.3,douban://douban.com/movie/36314193,2026,美国 加拿大,悬疑,凯文·威廉姆森
36314193,惊声尖叫7,5.3,douban://douban.com/movie/36314193,2026,美国 加拿大,恐怖,凯文·威廉姆森
37193378,不过是上班,6.0,douban://douban.com/movie/37193378,2026,中国大陆,喜剧,王梓骏
36433332,抖擞,5.8,douban://douban.com/movie/36433332,2026,美国,喜剧,彼得·法雷里
36433332,抖擞,5.8,douban://douban.com/movie/36433332,2026,美国,犯罪,彼得·法雷里
35346268,时空奇旅,7.3,douban://douban.com/movie/35346268,2025,法国,科幻,于戈·比安弗尼
35346268,时空奇旅,7.3,douban://douban.com/movie/35346268,2025,法国,动画,于戈·比安弗尼
36650662,临租家庭,7.3,douban://douban.com/movie/36650662,2025,日本 美国,剧情,宫崎光代
36650662,临租家庭,7.3,douban://douban.com/movie/36650662,2025,日本 美国,喜剧,宫崎光代
36707378,铁血战士：杀戮之地,7.4,douban://douban.com/movie/36707378,2025,美国 澳大利亚 新西兰 加拿大 德国,动作,丹·特拉亨伯格
36707378,铁血战士：杀戮之地,7.4,douban://douban.com/movie/36707378,2025,美国 澳大利亚 新西兰 加拿大 德国,科幻,丹·特拉亨伯格
36707378,铁血战士：杀戮之地,7.4,douban://douban.com/movie/36707378,2025,美国 澳大利亚 新西兰 加拿大 德国,惊悚,丹·特拉亨伯格
36707378,铁血战士：杀戮之地,7.4,douban://douban.com/movie/36707378,2025,美国 澳大利亚 新西兰 加拿大 德国,冒险,丹·特拉亨伯格
35443478,猎杀游戏,5.8,douban://douban.com/movie/35443478,2025,美国 英国,动作,埃德加·赖特
35443478,猎杀游戏,5.8,douban://douban.com/movie/35443478,2025,美国 英国,科幻,埃德加·赖特
35443478,猎杀游戏,5.8,douban://douban.com/movie/35443478,2025,美国 英国,惊悚,埃德加·赖特
35443478,猎杀游戏,5.8,douban://douban.com/movie/35443478,2025,美国 英国,冒险,埃德加·赖特
36465394,腓尼基计划,6.7,douban://douban.com/movie/36465394,2025,美国 德国,剧情,韦斯·安德森
36465394,腓尼基计划,6.7,douban://douban.com/movie/36465394,2025,美国 德国,喜剧,韦斯·安德森
36465394,腓尼基计划,6.7,douban://douban.com/movie/36465394,2025,美国 德国,动作,韦斯·安德森
36465394,腓尼基计划,6.7,douban://douban.com/movie/36465394,2025,美国 德国,惊悚,韦斯·安德森
36465394,腓尼基计划,6.7,douban://douban.com/movie/36465394,2025,美国 德国,犯罪,韦斯·安德森
26389539,寻秦记,6.2,douban://douban.com/movie/26389539,2025,中国香港 中国大陆,动作,吴炫辉 黎震龙
26389539,寻秦记,6.2,douban://douban.com/movie/26389539,2025,中国香港 中国大陆,奇幻,吴炫辉 黎震龙
26389539,寻秦记,6.2,douban://douban.com/movie/26389539,2025,中国香港 中国大陆,古装,吴炫辉 黎震龙
35699905,落叶球,7.1,douban://douban.com/movie/35699905,2025,德国 格鲁吉亚,剧情,亚历山大·科贝里泽
36764327,即兴卧底,7.3,douban://douban.com/movie/36764327,2025,英国,喜剧,汤姆·金斯利
36764327,即兴卧底,7.3,douban://douban.com/movie/36764327,2025,英国,动作,汤姆·金斯利
36764327,即兴卧底,7.3,douban://douban.com/movie/36764327,2025,英国,犯罪,汤姆·金斯利
30286126,三滴血,6.3,douban://douban.com/movie/30286126,2025,中国大陆,剧情,康博
30286126,三滴血,6.3,douban://douban.com/movie/30286126,2025,中国大陆,犯罪,康博
36221247,凶器,6.8,douban://douban.com/movie/36221247,2025,美国,剧情,扎克·克雷格
36221247,凶器,6.8,douban://douban.com/movie/36221247,2025,美国,悬疑,扎克·克雷格
36221247,凶器,6.8,douban://douban.com/movie/36221247,2025,美国,惊悚,扎克·克雷格
36221247,凶器,6.8,douban://douban.com/movie/36221247,2025,美国,恐怖,扎克·克雷格
30174089,内幕,6.2,douban://douban.com/movie/30174089,2025,中国香港,剧情,麦兆辉
30174089,内幕,6.2,douban://douban.com/movie/30174089,2025,中国香港,动作,麦兆辉
30174089,内幕,6.2,douban://douban.com/movie/30174089,2025,中国香港,犯罪,麦兆辉
37194405,美味倒数,6.9,douban://douban.com/movie/37194405,2026,韩国,剧情,金泰泳
35736046,搜查瑠公圳,6.0,douban://douban.com/movie/35736046,2025,中国台湾,剧情,赖俊羽
35736046,搜查瑠公圳,6.0,douban://douban.com/movie/35736046,2025,中国台湾,悬疑,赖俊羽
35736046,搜查瑠公圳,6.0,douban://douban.com/movie/35736046,2025,中国台湾,犯罪,赖俊羽
36131988,招魂4：终章,6.2,douban://douban.com/movie/36131988,2025,英国 美国,悬疑,迈克尔·查维斯
