id,title,rating,uri,card_subtitle
36707354,永恒站,7.2,douban://douban.com/movie/36707354,2025 / 美国 / 剧情 喜剧 爱情 奇幻 / 大卫·费恩 / 迈尔斯·特勒 伊丽莎白·奥尔森
36860441,妥瑞氏与我,8.3,douban://douban.com/movie/36860441,2025 / 英国 / 剧情 传记 历史 / 柯克·琼斯 / 罗伯特·阿拉马约 彼得·穆兰
37039108,地母,7.1,douban://douban.com/movie/37039108,2025 / 马来西亚 意大利 中国香港 / 剧情 / 张吉安 / 范冰冰 许恩怡
36977669,东北警察故事3,7.4,douban://douban.com/movie/36977669,2026 / 中国大陆 / 喜剧 动作 犯罪 / 杨秉佳 / 谢苗 林晓杰
36175206,魔法坏女巫2,5.6,douban://douban.com/movie/36175206,2025 / 美国 加拿大 澳大利亚 / 剧情 爱情 歌舞 奇幻 / 朱浩伟 / 辛西娅·埃里沃 爱莉安娜·格兰德
36766190,国宝,7.7,douban://douban.com/movie/36766190,2025 / 日本 / 剧情 / 李相日 / 吉泽亮 横滨流星
37107063,震耳欲聋,7.4,douban://douban.com/movie/37107063,2025 / 中国大陆 / 剧情 犯罪 / 万力 / 檀健次 兰西雅
36829507,坏蛋联盟2,7.6,douban://douban.com/movie/36829507,2025 / 美国 / 喜剧 动作 动画 悬疑 犯罪 冒险 / 皮埃尔·佩里费尔  J·P·桑斯 / 山姆·洛克威尔 马克·马龙
36877209,镜的第三乐章,7.4,douban://douban.com/movie/36877209,2025 / 德国 / 剧情 / 克里斯蒂安·佩措尔德 / 葆拉·贝尔 巴尔巴拉·奥尔
36821452,尼诺,7.2,douban://douban.com/movie/36821452,2025 / 法国 / 剧情 / 波利娜·洛克 / 西奥多·佩尔兰 威廉·勒布吉欧
35183324,花漾少女杀人事件,7.1,douban://douban.com/movie/35183324,2025 / 中国大陆 / 剧情 悬疑 / 周璟豪 / 张子枫 丁湘源
26900149,如何大赚一笔,5.9,douban://douban.com/movie/26900149,2026 / 英国 法国 / 剧情 喜剧 惊悚 / 约翰·巴顿·福特 / 格伦·鲍威尔 玛格丽特·库里
37071133,菜肉馄饨,7.2,douban://douban.com/movie/37071133,2025 / 中国大陆 / 剧情 喜剧 爱情 / 吴天戈 / 周野芒 潘虹
36474027,镖人：风起大漠,7.5,douban://douban.com/movie/36474027,2026 / 中国大陆 / 动作 武侠 古装 / 袁和平 / 吴京 谢霆锋
35416174,狂野时代,6.5,douban://douban.com/movie/35416174,2025 / 中国大陆 法国 / 剧情 科幻 / 毕赣 / 易烊千玺 舒淇
37231952,父影之下,7.5,douban://douban.com/movie/37231952,2025 / 英国 尼日利亚 爱尔兰 / 剧情 / 阿基诺拉·戴维斯 / 索佩·迪瑞苏 戈德温·埃格博
36850893,惊变28年2：白骨圣殿,6.5,douban://douban.com/movie/36850893,2026 / 英国 美国 加拿大 / 科幻 惊悚 恐怖 / 尼娅·达科斯塔 / 拉尔夫·费因斯 杰克·奥康奈尔
36553324,趣塔德庄园,7.2,douban://douban.com/movie/36553324,2025 / 英国 / 喜剧 / 吉姆·奥汉龙 / 戴米恩·路易斯 凯瑟琳·沃特斯顿
